2022-11-03 08:59:39 [DB]Load DB Table_Base : map_url -> file:///home/rainbow/Desktop/MAIN_MOBILE1/build/image/map.png
2022-11-03 08:59:39 [DB]Load DB Table_Base : prefer_mouse -> yes
2022-11-03 09:03:24 [DB]Load DB Table_Base : map_url -> file:///home/rainbow/Desktop/MAIN_MOBILE1/build/image/map.png
2022-11-03 09:03:24 [DB]Load DB Table_Base : prefer_mouse -> yes
2022-11-03 15:05:03 [DB]Load DB Table_Base : map_url -> file:///home/rainbow/Desktop/MAIN_MOBILE1/build/image/map.png
2022-11-03 15:05:03 [DB]Load DB Table_Base : prefer_mouse -> yes
2022-11-03 15:06:55 [DB]Load DB Table_Base : map_url -> file:///home/rainbow/Desktop/MAIN_MOBILE1/build/image/map.png
2022-11-03 15:06:55 [DB]Load DB Table_Base : prefer_mouse -> yes
2022-11-03 15:07:30 [DB]Load DB Table_Base : map_url -> file:///home/rainbow/Desktop/MAIN_MOBILE1/build/image/map.png
2022-11-03 15:07:30 [DB]Load DB Table_Base : prefer_mouse -> yes
2022-11-03 15:09:23 [DB]Load DB Table_Base : map_url -> file:///home/rainbow/Desktop/MAIN_MOBILE1/build/image/map.png
2022-11-03 15:09:23 [DB]Load DB Table_Base : prefer_mouse -> yes
2022-11-03 15:09:32 [UI-FUNCTION] SET TRAY : 2, 5, 5
2022-11-03 16:05:35 [DB]Load DB Table_Base : map_url -> file:///home/rainbow/Desktop/MAIN_MOBILE1/build/image/map.png
2022-11-03 16:05:35 [DB]Load DB Table_Base : prefer_mouse -> yes
2022-11-03 16:05:43 [UI-FUNCTION] SET TRAY : 4, 4, 4
2022-11-03 16:11:58 [DB]Load DB Table_Base : map_url -> file:///home/rainbow/Desktop/MAIN_MOBILE1/build/image/map.png
2022-11-03 16:11:58 [DB]Load DB Table_Base : prefer_mouse -> yes
2022-11-03 16:14:15 [DB]Load DB Table_Base : map_url -> file:///home/rainbow/Desktop/MAIN_MOBILE1/build/image/map.png
2022-11-03 16:14:15 [DB]Load DB Table_Base : prefer_mouse -> yes
2022-11-03 16:14:37 [DB]Load DB Table_Base : map_url -> file:///home/rainbow/Desktop/MAIN_MOBILE1/build/image/map.png
2022-11-03 16:14:37 [DB]Load DB Table_Base : prefer_mouse -> yes
2022-11-03 16:14:44 [UI-FUNCTION] SET TRAY : 4, 4, 4
2022-11-03 16:14:44 [LCM] SEND COMMAND : MOVE LOCATION TO 6
2022-11-03 16:14:44 [LCM] SEND COMMAND : MOVE LOCATION TO 6
2022-11-03 16:14:44 [LCM] SEND COMMAND : MOVE LOCATION TO 6
2022-11-03 16:14:45 [LCM] SEND COMMAND : MOVE LOCATION TO 6
2022-11-03 16:14:45 [LCM] SEND COMMAND : MOVE LOCATION TO 6
2022-11-03 16:14:45 [LCM] SEND COMMAND : MOVE LOCATION TO 6
2022-11-03 16:14:45 [LCM] SEND COMMAND : MOVE LOCATION TO 6
2022-11-03 16:14:45 [LCM] SEND COMMAND : MOVE LOCATION TO 6
2022-11-03 16:14:46 [LCM] SEND COMMAND : MOVE LOCATION TO 6
2022-11-03 16:14:46 [LCM] SEND COMMAND : MOVE LOCATION TO 6
2022-11-03 16:14:46 [LCM] SEND COMMAND : MOVE LOCATION TO 6
2022-11-03 16:14:46 [LCM] SEND COMMAND : MOVE LOCATION TO 6
2022-11-03 16:14:46 [LCM] SEND COMMAND : MOVE LOCATION TO 6
2022-11-03 16:14:47 [LCM] SEND COMMAND : MOVE LOCATION TO 6
2022-11-03 16:14:47 [LCM] SEND COMMAND : MOVE LOCATION TO 6
2022-11-03 16:14:47 [LCM] SEND COMMAND : MOVE LOCATION TO 6
2022-11-03 16:14:47 [LCM] SEND COMMAND : MOVE LOCATION TO 6
2022-11-03 16:14:47 [LCM] SEND COMMAND : MOVE LOCATION TO 6
2022-11-03 16:14:48 [LCM] SEND COMMAND : MOVE LOCATION TO 6
2022-11-03 16:14:48 [LCM] SEND COMMAND : MOVE LOCATION TO 6
2022-11-03 16:14:48 [LCM] SEND COMMAND : MOVE LOCATION TO 6
2022-11-03 16:14:48 [LCM] SEND COMMAND : MOVE LOCATION TO 6
2022-11-03 16:14:48 [LCM] SEND COMMAND : MOVE LOCATION TO 6
2022-11-03 16:14:49 [LCM] SEND COMMAND : MOVE LOCATION TO 6
2022-11-03 16:14:49 [LCM] SEND COMMAND : MOVE LOCATION TO 6
2022-11-03 16:14:49 [LCM] SEND COMMAND : MOVE LOCATION TO 6
2022-11-03 16:14:49 [LCM] SEND COMMAND : MOVE LOCATION TO 6
2022-11-03 16:14:49 [LCM] SEND COMMAND : MOVE LOCATION TO 6
2022-11-03 16:14:50 [LCM] SEND COMMAND : MOVE LOCATION TO 6
2022-11-03 16:14:50 [LCM] SEND COMMAND : MOVE LOCATION TO 6
2022-11-03 16:14:50 [LCM] SEND COMMAND : MOVE LOCATION TO 6
2022-11-03 16:14:50 [LCM] SEND COMMAND : MOVE LOCATION TO 6
2022-11-03 16:14:50 [LCM] SEND COMMAND : MOVE LOCATION TO 6
2022-11-03 16:14:51 [LCM] SEND COMMAND : MOVE LOCATION TO 6
2022-11-03 16:14:51 [LCM] SEND COMMAND : MOVE LOCATION TO 6
2022-11-03 16:14:51 [LCM] SEND COMMAND : MOVE LOCATION TO 6
2022-11-03 16:14:51 [LCM] SEND COMMAND : MOVE LOCATION TO 6
2022-11-03 16:14:51 [LCM] SEND COMMAND : MOVE LOCATION TO 6
2022-11-03 16:14:52 [LCM] SEND COMMAND : MOVE LOCATION TO 6
2022-11-03 16:14:52 [LCM] SEND COMMAND : MOVE LOCATION TO 6
2022-11-03 16:14:52 [LCM] SEND COMMAND : MOVE LOCATION TO 6
2022-11-03 16:14:52 [LCM] SEND COMMAND : MOVE LOCATION TO 6
2022-11-03 16:14:52 [LCM] SEND COMMAND : MOVE LOCATION TO 6
2022-11-03 16:14:53 [LCM] SEND COMMAND : MOVE LOCATION TO 6
2022-11-03 16:14:53 [LCM] SEND COMMAND : MOVE LOCATION TO 6
2022-11-03 16:14:53 [LCM] SEND COMMAND : MOVE LOCATION TO 6
2022-11-03 16:14:53 [LCM] SEND COMMAND : MOVE LOCATION TO 6
2022-11-03 16:14:53 [LCM] SEND COMMAND : MOVE LOCATION TO 6
2022-11-03 16:14:54 [LCM] SEND COMMAND : MOVE LOCATION TO 6
2022-11-03 16:14:54 [LCM] SEND COMMAND : MOVE LOCATION TO 6
2022-11-03 16:14:54 [LCM] SEND COMMAND : MOVE LOCATION TO 6
2022-11-03 16:14:54 [LCM] SEND COMMAND : MOVE LOCATION TO 6
2022-11-03 16:14:54 [LCM] SEND COMMAND : MOVE LOCATION TO 6
2022-11-03 16:14:55 [LCM] SEND COMMAND : MOVE LOCATION TO 6
2022-11-03 16:14:55 [LCM] SEND COMMAND : MOVE LOCATION TO 6
2022-11-03 16:14:55 [LCM] SEND COMMAND : MOVE LOCATION TO 6
2022-11-03 16:14:55 [LCM] SEND COMMAND : MOVE LOCATION TO 6
2022-11-03 16:14:55 [LCM] SEND COMMAND : MOVE LOCATION TO 6
2022-11-03 16:14:56 [LCM] SEND COMMAND : MOVE LOCATION TO 6
2022-11-03 16:14:56 [LCM] SEND COMMAND : MOVE LOCATION TO 6
2022-11-03 16:14:56 [LCM] SEND COMMAND : MOVE LOCATION TO 6
2022-11-03 16:14:56 [LCM] SEND COMMAND : MOVE LOCATION TO 6
2022-11-03 16:14:56 [LCM] SEND COMMAND : MOVE LOCATION TO 6
2022-11-03 16:14:57 [LCM] SEND COMMAND : MOVE LOCATION TO 6
2022-11-03 16:14:57 [LCM] SEND COMMAND : MOVE LOCATION TO 6
2022-11-03 16:14:57 [LCM] SEND COMMAND : MOVE LOCATION TO 6
2022-11-03 16:14:57 [LCM] SEND COMMAND : MOVE LOCATION TO 6
2022-11-03 16:14:57 [LCM] SEND COMMAND : MOVE LOCATION TO 6
2022-11-03 16:14:58 [LCM] SEND COMMAND : MOVE LOCATION TO 6
2022-11-03 16:14:58 [LCM] SEND COMMAND : MOVE LOCATION TO 6
2022-11-03 16:14:58 [LCM] SEND COMMAND : MOVE LOCATION TO 6
2022-11-03 16:14:58 [LCM] SEND COMMAND : MOVE LOCATION TO 6
2022-11-03 16:14:58 [LCM] SEND COMMAND : MOVE LOCATION TO 6
2022-11-03 16:14:59 [LCM] SEND COMMAND : MOVE LOCATION TO 6
2022-11-03 16:14:59 [LCM] SEND COMMAND : MOVE LOCATION TO 6
2022-11-03 16:14:59 [LCM] SEND COMMAND : MOVE LOCATION TO 6
2022-11-03 16:14:59 [LCM] SEND COMMAND : MOVE LOCATION TO 6
