2022-11-18 09:23:48 [DB]Load DB Table_Base : map_url -> file:///home/rainbow/Desktop/MAIN_MOBILE1/build/image/map_downloaded.png
2022-11-18 09:23:48 [DB]Load DB Table_Base : prefer_mouse -> yes
2022-11-18 09:25:05 [LCM] SEND COMMAND : MOVE TARGET TO 0.629630, -0.074074, 0.000000
2022-11-18 09:25:06 [LCM] SEND COMMAND : MOVE TARGET TO 0.910782, 0.412888, 0.000000
2022-11-18 09:25:06 [LCM] SEND COMMAND : MOVE TARGET TO 0.129630, 0.685185, 0.000000
2022-11-18 09:25:06 [LCM] SEND COMMAND : MOVE TARGET TO -0.648148, -0.074074, 0.000000
2022-11-18 09:25:06 [LCM] SEND COMMAND : MOVE TARGET TO -0.872506, -0.488603, 0.000000
2022-11-18 09:25:06 [LCM] SEND COMMAND : MOVE TARGET TO -0.872506, -0.488603, 0.000000
2022-11-18 09:25:07 [LCM] SEND COMMAND : MOVE TARGET TO -0.872506, -0.488603, 0.000000
2022-11-18 09:25:07 [LCM] SEND COMMAND : MOVE TARGET TO -0.872506, -0.488603, 0.000000
2022-11-18 09:25:07 [LCM] SEND COMMAND : MOVE TARGET TO -0.872506, -0.488603, 0.000000
2022-11-18 09:25:07 [LCM] SEND COMMAND : MOVE TARGET TO -0.872506, -0.488603, 0.000000
2022-11-18 09:25:07 [LCM] SEND COMMAND : MOVE TARGET TO -0.814815, -0.462963, 0.000000
2022-11-18 09:25:08 [LCM] SEND COMMAND : MOVE TARGET TO 0.018519, -0.092593, 0.000000
2022-11-18 09:25:08 [LCM] SEND COMMAND : MOVE TARGET TO 0.851852, 0.222222, 0.000000
2022-11-18 09:25:08 [LCM] SEND COMMAND : MOVE TARGET TO 0.969097, 0.246679, 0.000000
2022-11-18 09:25:08 [LCM] SEND COMMAND : MOVE TARGET TO 0.969097, 0.246679, 0.000000
2022-11-18 09:25:08 [LCM] SEND COMMAND : MOVE TARGET TO 0.987241, 0.159232, 0.000000
2022-11-18 09:25:09 [LCM] SEND COMMAND : MOVE TARGET TO 0.994586, 0.103912, 0.000000
2022-11-18 09:25:09 [LCM] SEND COMMAND : MOVE TARGET TO 0.999056, 0.043437, 0.000000
2022-11-18 09:25:09 [LCM] SEND COMMAND : MOVE TARGET TO 0.999056, 0.043437, 0.000000
2022-11-18 09:25:09 [LCM] SEND COMMAND : MOVE TARGET TO 0.999056, 0.043437, 0.000000
2022-11-18 09:25:09 [LCM] SEND COMMAND : MOVE TARGET TO 0.999056, 0.043437, 0.000000
2022-11-18 09:25:10 [LCM] SEND COMMAND : MOVE TARGET TO 0.999056, 0.043437, 0.000000
2022-11-18 09:25:10 [LCM] SEND COMMAND : MOVE TARGET TO 0.999056, 0.043437, 0.000000
2022-11-18 09:25:10 [LCM] SEND COMMAND : MOVE TARGET TO 0.999056, 0.043437, 0.000000
2022-11-18 09:25:10 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000, 0.000000
2022-11-18 09:25:11 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000, 0.685185
2022-11-18 09:25:11 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000, 1.000000
2022-11-18 09:25:12 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000, 1.000000
2022-11-18 09:25:12 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000, 1.000000
2022-11-18 09:25:12 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000, 1.000000
2022-11-18 09:25:12 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000, 1.000000
2022-11-18 09:25:12 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000, 1.000000
2022-11-18 09:25:13 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000, -0.944444
2022-11-18 09:25:13 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000, -1.000000
2022-11-18 09:25:13 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000, -1.000000
2022-11-18 09:25:13 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000, -1.000000
2022-11-18 09:25:13 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000, -1.000000
2022-11-18 09:25:14 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000, -1.000000
2022-11-18 09:25:14 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000, -1.000000
2022-11-18 09:25:14 [LCM] SEND COMMAND : MOVE TARGET TO 0.000000, 0.000000, 0.000000
2022-11-18 09:30:47 [DB]Load DB Table_Base : map_url -> file:///home/rainbow/Desktop/MAIN_MOBILE1/build/image/map_downloaded.png
2022-11-18 09:30:47 [DB]Load DB Table_Base : prefer_mouse -> yes
2022-11-18 09:38:00 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:01 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:01 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:01 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:01 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:01 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:02 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:02 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:02 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:02 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:02 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:03 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:03 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:03 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:03 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:03 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:04 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:04 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:04 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:04 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:04 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:05 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:05 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:05 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:05 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:05 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:06 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:06 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:06 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:06 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:06 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:07 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:07 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:07 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:07 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:07 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:08 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:08 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:08 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:08 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:08 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:09 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:09 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:09 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:09 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:09 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:10 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:10 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:10 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:10 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:10 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:11 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:11 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:11 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:11 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
2022-11-18 09:38:11 [LCM] SEND COMMAND : MOVE LOCATION TO charging_0
