2022-12-02 08:40:29 [SERVER] DISCONNECTED TO SERVER
2022-12-02 08:40:42 [SERVER] CONNECTED TO SERVER
2022-12-02 08:40:53 [SERVER] DISCONNECTED TO SERVER
2022-12-02 09:07:15 [LCM] CONNECT -> INIT START
2022-12-02 09:07:15 [LCM] CONNECT -> INIT START
2022-12-02 09:07:15 [LCM] CONNECT -> INIT START
2022-12-02 09:07:15 [LCM] CONNECT -> INIT START
2022-12-02 09:07:16 [LCM] CONNECT -> INIT START
2022-12-02 09:07:16 [LCM] CONNECT -> INIT START
2022-12-02 09:07:16 [LCM] CONNECT -> INIT START
2022-12-02 09:07:16 [LCM] CONNECT -> INIT START
2022-12-02 09:07:16 [LCM] CONNECT -> INIT START
2022-12-02 09:07:17 [LCM] CONNECT -> INIT START
2022-12-02 09:07:17 [LCM] CONNECT -> INIT START
2022-12-02 09:07:17 [LCM] CONNECT -> INIT START
2022-12-02 09:07:17 [LCM] CONNECT -> INIT START
2022-12-02 09:07:17 [LCM] CONNECT -> INIT START
2022-12-02 09:07:18 [LCM] CONNECT -> INIT START
2022-12-02 09:07:18 [LCM] CONNECT -> INIT START
2022-12-02 09:07:18 [LCM] CONNECT -> INIT START
2022-12-02 09:07:18 [LCM] CONNECT -> INIT START
2022-12-02 09:07:18 [LCM] CONNECT -> INIT START
2022-12-02 09:07:19 [LCM] CONNECT -> INIT START
2022-12-02 09:07:19 [LCM] CONNECT -> INIT START
2022-12-02 09:07:19 [LCM] CONNECT -> INIT START
2022-12-02 09:07:19 [LCM] CONNECT -> INIT START
2022-12-02 09:07:19 [LCM] CONNECT -> INIT START
2022-12-02 09:07:20 [LCM] CONNECT -> INIT START
2022-12-02 09:07:20 [LCM] CONNECT -> INIT START
2022-12-02 09:07:20 [LCM] CONNECT -> INIT START
2022-12-02 09:07:20 [LCM] CONNECT -> INIT START
2022-12-02 09:07:20 [LCM] CONNECT -> INIT START
2022-12-02 09:08:40 [LCM] CONNECT -> INIT START
2022-12-02 09:08:41 [LCM] CONNECT -> INIT START
2022-12-02 09:08:41 [LCM] CONNECT -> INIT START
